country_name,wage_span,median_salary,average_salary,lowest_salary,highest_salary
Hungary,Monthly,1227.46,1344.23,339.45,5974.36
Iceland,Monthly,4661.2,5049.03,1273.23,22464.51
India,Monthly,327.97,384.43,97.07,1717.92
Indonesia,Monthly,678.91,788.83,198.5,3504.47
Iran,Monthly,932.63,1070.97,269.53,4770.47
Iraq,Monthly,1382.38,1573.31,395.62,6988.25
Ireland,Monthly,3021.14,3399.58,856.24,15151.16
Italy,Monthly,3467.23,3868.92,972.52,17230.44
Jamaica,Monthly,565.78,624.56,157.59,2777.24
Japan,Monthly,3158.67,3453.12,869.97,15391.82
Jersey,Monthly,5817.07,6304.88,1585.37,28048.78
Jordan,Monthly,1946.4,2284.91,578.28,10141.04
Kazakhstan,Monthly,701.0,813.99,204.86,3620.08
Kenya,Monthly,863.29,991.43,250.22,4424.36
Kiribati,Monthly,2206.45,2509.68,632.26,11161.29
Korea (North),Monthly,173000,195000,49100,867000
Korea (South),Monthly,2593.42,2889.81,728.38,12893.0
Kuwait,Monthly,3721.68,4110.03,1035.6,18252.43
Kyrgyzstan,Monthly,201.87,219.92,55.6,980.04
Laos,Monthly,206.42,223.54,56.25,992.99
Latvia,Monthly,1659.2901,1957.0733,493.00319,8679.8441
Lebanon,Monthly,753.33,873.33,219.33,3873.33
Lesotho,Monthly,540.54,625.33,157.39,2776.89
Liberia,Monthly,334.39,380.35,96.14,1690.44
Libya,Monthly,417.18,470.35,118.61,2085.89
Liechtenstein,Monthly,5224.04,5825.14,1464.48,25901.64
Lithuania,Monthly,906.72572,1000.4422,252.3912,4439.6525
Luxembourg,Monthly,4767.44,5211.42,1310.78,23150.11
Macao,Monthly,856.26,928.13,234.2,4126.39
Macedonia,Monthly,677.0,794.14,199.83,3531.44
Madagascar,Monthly,250.87,290.48,73.28,1291.74
Malawi,Monthly,132.38,151.69,38.24,674.79
Malaysia,Monthly,1236.17,1406.38,355.32,6255.32
Maldives,Monthly,1099.61,1241.91,313.07,5517.46
Mali,Monthly,478.58,533.36,134.55,2368.71
Malta,Monthly,4439.75,4904.86,1236.79,21775.9
Marshall Islands,Monthly,2070,2260,570,10100
Martinique,Monthly,2949.26,3192.39,803.38,14164.9
Mauritania,Monthly,44.617162,52.532235,13.211857,232.98046
Mauritius,Monthly,901.53,1047.66,263.04,4653.78
Mayotte,Monthly,2389.01,2748.41,697.67,12262.16
Mexico,Monthly,1681.97,1917.34,482.78,8495.98
Micronesia,Monthly,1250,1410,360,6270
Moldova,Monthly,1318.68,1467.03,370.33,6538.46
Monaco,Monthly,4112.05,4492.6,1374.21,18921.78
Mongolia,Monthly,515.76,564.74,142.34,2509.62
Montenegro,Monthly,2621.56,2832.98,718.82,12579.28
Montserrat,Monthly,859.26,1011.11,255.56,4481.48
Morocco,Monthly,1634.24,1896.89,477.63,8433.85
Mozambique,Monthly,549.81,631.27,159.77,2803.88
Myanmar,Monthly,228.46,260.35,65.68,1156.59
Namibia,Monthly,821.41,927.4,233.7,4128.25
Nepal,Monthly,551.13,608.2,153.18,2703.11
Netherlands,Monthly,4756.87,5179.7,1427.06,22515.86
Netherlands Antilles,Monthly,2268.16,2458.1,620.11,10893.85
New Caledonia,Monthly,664.3,779.45,196.63,3463.24
New Zealand,Monthly,4196.41,4870.06,1227.54,21656.29
Nicaragua,Monthly,449.1,517.15,130.38,2299.95
Niger,Monthly,480.19,547.87,137.93,2433.17
Nigeria,Monthly,389.85,438.91,110.63,1949.27
Northern Mariana Islands,Monthly,1820,1990,500,8870
Norway,Monthly,4420.02,4786.34,1208.23,21281.57
Oman,Monthly,3932.29,4635.42,1171.88,20572.92
Pakistan,Monthly,245.34,284.9,71.83,1266.61
Palau,Monthly,2380,2740,690,12200
Palestine,Monthly,1510,1710,430,7620
Panama,Monthly,1890.0,2130.0,540.0,9460.0
Papua New Guinea,Monthly,1010.96,1128.77,284.93,5013.7
Paraguay,Monthly,1019.69,1126.17,283.93,5009.74
Peru,Monthly,1825.86,1997.36,503.96,8891.82
Philippines,Monthly,728.78,790.54,199.4,3511.56
Poland,Monthly,1496.57,1736.84,437.07,7734.55
Portugal,Monthly,2537.0,2917.55,739.96,13002.11
Puerto Rico,Monthly,1483,1683,425,7491
Qatar,Monthly,3846.15,4313.19,1090.66,19230.77
Reunion,Monthly,1966.17,2198.73,549.68,9767.44
Romania,Monthly,1739.87,1921.11,484.01,8550.11
Russia,Monthly,975.51,1065.68,268.47,4744.34
Rwanda,Monthly,525.39,569.65,143.44,2532.68
Saint Kitts and Nevis,Monthly,1092.59,1259.26,318.52,5592.59
Saint Lucia,Monthly,922.22,1048.15,262.96,4666.67
Saint Martin,Monthly,3086.68,3477.8,877.38,15433.4
Saint Vincent and the Grenadines,Monthly,1144.44,1262.96,318.52,5629.63
Samoa,Monthly,808.66,884.48,223.83,3935.02
San Marino,Monthly,4450.32,4820.3,1215.64,21458.77
Sao Tome and Principe,Monthly,256.6851,301.09959,76.026572,1340.1294
Saudi Arabia,Monthly,3840.0,4480.0,1128.0,19893.33
Senegal,Monthly,493.08,565.59,142.77,2513.74
Serbia,Monthly,1120.04,1273.6,320.66,5654.41
Seychelles,Monthly,1246.44,1403.13,353.99,6246.44
Sierra Leone,Monthly,249.1,277.75,69.92,1238.23
Singapore,Monthly,5647.06,6235.29,1573.53,27720.59
Slovakia,Monthly,2114.16,2315.01,581.4,10295.98
Slovenia,Monthly,1934.46,2093.02,528.54,9302.33
Solomon Islands,Monthly,644.89,756.53,191.21,3361.05
Somalia,Monthly,392.16,455.19,114.85,2030.85
South Africa,Monthly,1441.44,1658.72,417.59,7366.19
Spain,Monthly,2579.28,2875.26,877.38,12050.74
Sri Lanka,Monthly,249.68,278.41,70.14,1239.11
Sudan,Monthly,67.61,74.53,18.8,331.92
Suriname,Monthly,122.18,133.57,33.65,592.8
Swaziland,Monthly,204.56,239.53,60.41,1065.18
Sweden,Monthly,3568.16,4144.56,1043.0,18389.75
Switzerland,Monthly,9836.07,11292.9,2850.27,50363.93
Syria,Monthly,10.12,11.51,2.9,51.2
Taiwan,Monthly,3571.43,4037.27,1015.53,17919.25
Tajikistan,Monthly,959.78,1069.47,269.65,4753.2
Tanzania,Monthly,457.77,505.54,126.98,2245.08
Thailand,Monthly,2432.28,2662.11,670.31,11846.79
Togo,Monthly,787.96,852.41,214.31,3786.72
Tonga,Monthly,668.09,778.72,195.74,3459.57
Trinidad and Tobago,Monthly,1258.11,1445.43,364.31,6430.68
Tunisia,Monthly,1088.33,1239.75,312.3,5520.5
Turkey,Monthly,254.1,286.13,72.08,1274.12
Turkmenistan,Monthly,1342.86,1500.0,377.14,6657.14
Turks and Caicos Islands,Monthly,1350,1490,380,6640
Uganda,Monthly,645.21,698.31,176.04,3106.55
Ukraine,Monthly,530.73,622.8,157.32,2761.98
United Arab Emirates,Monthly,3324.25,3896.46,708.45,18637.6
United Kingdom,Monthly,6300.0,7235.37,1829.27,32214.63
United States,Monthly,6966,7925,2000,35250
Uruguay,Monthly,773.64,862.2,217.24,3829.12
Uzbekistan,Monthly,97.25,106.98,27.07,477.35
Vanuatu,Monthly,750.74,821.77,207.3,3650.48
Venezuela,Monthly,3282.02,3862.91,972.99,17165.26
Vietnam,Monthly,612.57,711.24,179.25,3161.52
Virgin Islands (British),Monthly,1600,1840,460,8180
Virgin Islands (US),Monthly,2380,2710,680,12000
Western Sahara,Monthly,908.56,1011.67,254.86,4503.89
Yemen,Monthly,120.98,133.36,33.62,594.93
Zambia,Monthly,0.26118688,0.28515267,0.071998682,1.2694504
Zimbabwe,Monthly,555.40204,602.37635,151.42305,2674.772
